"filename", "language", "Markdown", "JSON", "Visual Basic", "JavaScript", "Batch", "Python", "CSS", "HTML", "XML", "JSON with Comments", "PlantUML", "comment", "blank", "total"
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\刘岩崧\src\User\code\public\manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\刘岩崧\src\User\code\scripts\build.js", "JavaScript", 0, 0, 0, 174, 0, 0, 0, 0, 0, 0, 0, 21, 23, 218
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\刘岩崧\src\User\code\scripts\start.js", "JavaScript", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 17, 16, 155
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\刘岩崧\src\User\code\scripts\test.js", "JavaScript", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 7, 10, 53
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\刘岩崧\src\User\code\src\App.js", "JavaScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 2, 1, 26
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\刘岩崧\src\User\code\src\View.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\刘岩崧\src\User\code\src\components\FormItem.js", "JavaScript", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 2, 3, 31
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\刘岩崧\src\User\code\src\components\UserEditor.js", "JavaScript", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 57, 11, 190
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\刘岩崧\src\User\code\src\index.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 1, 11
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\刘岩崧\src\User\code\src\layouts\HomeLayout.js", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 4, 3, 24
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\刘岩崧\src\User\code\src\pages\Home.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\刘岩崧\src\User\code\src\pages\Login.js", "JavaScript", 0, 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 17, 13, 148
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\刘岩崧\src\User\code\src\pages\UserAdd.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 5, 2, 20
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\刘岩崧\src\User\code\src\pages\UserEdit.js", "JavaScript", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 16, 5, 57
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\刘岩崧\src\User\code\src\pages\UserList.js", "JavaScript", 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 37, 10, 124
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\刘岩崧\src\User\code\src\utils\formProvider.js", "JavaScript", 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 39, 10, 126
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\刘岩崧\src\User\code\src\utils\request.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 10, 3, 45
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\刘岩崧\src\User\server\auth.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 3, 3, 25
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\刘岩崧\src\User\server\db.json", "JSON", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\刘岩崧\src\User\server\index.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\刘岩崧\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\刘岩崧\src\index.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 2, 16
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\刘岩崧\src\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\刘岩崧\src\reportWebVitals.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\刘岩崧\src\setupTests.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 1, 6
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\刘岩崧\start_server.bat", "Batch", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\尹凯\README.md", "Markdown", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\尹凯\WebTest\first.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 25, 88
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\尹凯\WebTest\index.css", "CSS", 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 13, 20, 150
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\徐林\NJUtest\handle.py", "Python", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 2, 5, 34
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\徐林\NJUtest\main.py", "Python", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\徐林\README.md", "Markdown", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\徐林\需求分析\前期工作.pu", "PlantUML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 1, 0, 56
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\徐林\需求分析\委托流程图.md", "Markdown", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 41
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\徐林\需求分析\委托测试流程图.pu", "PlantUML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 28
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\徐林\需求分析\登录注册流程图.md", "Markdown", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\徐林\需求分析\需要调研的部分.md", "Markdown", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\徐林\需求分析\页面布局需求分析.md", "Markdown", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 89
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\闫佳琪\README.md", "Markdown", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 108
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\闫佳琪\code\db.json", "JSON", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\闫佳琪\code\package-lock.json", "JSON", 0, 1662, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1663
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\闫佳琪\code\package.json", "JSON", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\闫佳琪\code\server\auth.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 3, 3, 25
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\闫佳琪\code\server\db.json", "JSON", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\闫佳琪\code\server\index.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\闫佳琪\code\test\README.md", "Markdown", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 71
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\闫佳琪\code\test\config\env.js", "JavaScript", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 35, 11, 105
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\闫佳琪\code\test\config\getHttpsConfig.js", "JavaScript", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 7, 9, 67
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\闫佳琪\code\test\config\jest\babelTransform.js", "JavaScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\闫佳琪\code\test\config\jest\cssTransform.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 3, 15
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\闫佳琪\code\test\config\jest\fileTransform.js", "JavaScript", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 4, 6, 41
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\闫佳琪\code\test\config\modules.js", "JavaScript", 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 30, 25, 135
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\闫佳琪\code\test\config\paths.js", "JavaScript", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 10, 13, 78
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\闫佳琪\code\test\config\webpack.config.js", "JavaScript", 0, 0, 0, 554, 0, 0, 0, 0, 0, 0, 0, 177, 23, 754
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\闫佳琪\code\test\config\webpackDevServer.config.js", "JavaScript", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 58, 7, 128
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\闫佳琪\code\test\config\webpack\persistentCache\createEnvironmentHash.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\闫佳琪\code\test\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 2, 0, 8
