Date : 2022-07-04 22:18:38
Directory : c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src
Total : 88 files,  5700 codes, -351 comments, 700 blanks, all 6049 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         63 |      5,442 |       -352 |        675 |      5,765 |
| Markdown   |         14 |        184 |          0 |         18 |        202 |
| CSS        |         11 |         74 |          1 |          7 |         82 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                        | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewTestReport\ViewTestReport.js                    | JavaScript |        479 |          0 |        143 |        622 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\Viewchecklist\Viewchecklist.js                      | JavaScript |        249 |          0 |         25 |        274 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\Viewquestionlist\Viewquestionlist.js                | JavaScript |        142 |          1 |         25 |        168 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\Viewsdreviewform\Viewsdreviewform.js                | JavaScript |        409 |          0 |         32 |        441 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\Viewtestchecklist\Viewtestchecklist.js              | JavaScript |        412 |          0 |         34 |        446 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\Viewtsreviewform\Viewtsreviewform.js                | JavaScript |        246 |          0 |         33 |        279 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\functions\functionTest.js                                                 | JavaScript |        133 |          1 |          7 |        141 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\functions\functions.js                                                    | JavaScript |          8 |          4 |          0 |         12 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\LoginPage\Login.css                                                    | CSS        |         37 |          1 |          4 |         42 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\LoginPage\Login.js                                                     | JavaScript |        104 |          9 |         11 |        124 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\LoginPage\Login.md                                                     | Markdown   |         12 |          0 |          3 |         15 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\Menu_1.js                                                              | JavaScript |        -49 |          0 |         -1 |        -50 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\RegisterPage\Register.css                                              | CSS        |         37 |          1 |          4 |         42 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\RegisterPage\Register.js                                               | JavaScript |         94 |          9 |          8 |        111 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\RegisterPage\Register.md                                               | Markdown   |         12 |          0 |          3 |         15 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\RegisterStaffPage\RegisterStaff.css                                    | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\RegisterStaffPage\RegisterStaff.js                                     | JavaScript |         91 |         11 |         10 |        112 |
| c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\register_login\RegisterStaffPage\RegisterStaff.md                                     | Markdown   |         12 |          0 |          3 |         15 |
